year,area,country,January,February,March,April,May,June,July,August,September,October,November,December
2019,ASIA PACIFIC ,AUSTRALIAN,95536,67474,83002,90265,98625,110815,123293,118556,124416,119382,105312,110711
2019,ASIA PACIFIC ,BHUTAN,60,30,47,38,31,31,46,67,43,32,56,60
2019,ASIA PACIFIC ,BANGLADESH,2262,2094,2489,2264,1938,4265,2656,2307,2035,2371,2164,2671
2019,ASIA PACIFIC ,FIJI,91,73,72,77,42,62,2656,80,68,78,89,189
2019,ASIA PACIFIC ,HONGKONG,1313,1367,764,6,1,5,2,1,0,11,0,45
2019,ASIA PACIFIC ,INDIA,28755,28809,26340,25438,38629,39922,29728,23552,27496,29229,34372,39759
2019,ASIA PACIFIC ,JAPAN,16245,20665,21337,19878,15774,18697,20467,33474,29367,23411,17722,20183
2019,ASIA PACIFIC ,KIRIBATI,1,0,0,0,1,4,0,2,2,0,2,3
2019,ASIA PACIFIC ,SOUTH KOREAN,14727,14788,10792,12334,14029,18737,23263,23352,19442,21307,18628,21447
2019,ASIA PACIFIC ,MALDIVES,121,87,128,141,27,177,158,116,137,111,135,255
2019,ASIA PACIFIC ,MONGOLIA,753,501,170,196,119,166,145,163,136,165,249,667
2019,ASIA PACIFIC ,MACAU,5,5,10,2,1,3,0,1,2,1,1,0
2019,ASIA PACIFIC ,MOLDOVA,127,78,87,74,83,63,59,60,56,73,120,115
2019,ASIA PACIFIC ,NEPAL,1216,827,1160,861,879,901,1246,1478,1109,2188,1315,1232
2019,ASIA PACIFIC ,NAURU,0,0,0,0,1,1,0,2,0,0,1,1
2019,ASIA PACIFIC ,PAKISTAN,424,274,352,404,170,626,576,416,378,448,688,551
2019,ASIA PACIFIC ,CHINA,113776,122643,89178,94202,93460,103951,111986,109028,98468,87819,78508,80972
2019,ASIA PACIFIC ,PALAU,2,1,2,1,2,0,0,1,9,1,1,0
2019,ASIA PACIFIC ,PAPUA NEW GUINEA,22,14,27,26,23,22,33,29,30,47,23,27
2019,ASIA PACIFIC ,SAMOA,10,5,5,2,4,9,3,7,7,8,12,8
2019,ASIA PACIFIC ,NEW ZEALAND,6548,5191,6645,8089,10046,13414,18273,16458,15538,13751,9132,9199
2019,ASIA PACIFIC ,EAST SOLOMON ,3,11,2,0,5,3,1,2,14,2,4,7
2019,ASIA PACIFIC ,SRI LANKAN,614,684,648,1139,670,589,656,835,925,1103,1040,1116
2019,ASIA PACIFIC ,TIBET,0,0,0,0,0,0,0,0,0,0,0,0
2019,ASIA PACIFIC ,TONGA,6,11,7,8,8,4,9,6,14,17,10,2
2019,ASIA PACIFIC ,TAIWAN,9200,10562,7195,7578,9486,9948,8638,8878,9746,9829,8590,7716
2019,ASIA PACIFIC ,TIMOR LESTE,2063,1485,1801,1931,1963,2756,2476,2866,3040,1957,2293,3067
2019,ASIA PACIFIC ,VANUATU,7,9,54,5,8,4,12,5,3,5,9,4
2019,ASEAN,BRUNEI DARUSSALAM,337,265,276,209,272,195,299,326,311,403,250,531
2019,ASEAN,CAMBODIA,418,614,500,836,1585,530,549,309,821,449,1060,763
2019,ASEAN,LAO PEOPLES DEMOCRATIK/LAOS,88,91,76,145,60,118,120,104,90,117,120,74
